Column1;Column2;Column3;Column4;Column5;Column6;Column7
Категорія;Компонент/Екстракт;Код;Назва;Міжнародна номенклатура;Компонент;Біохімічна група
Пилок трав;E;g17;Бахія звичайна (паспалум помітний);Paspalum notatum;;
Пилок трав;E;g2;Бермудська трава (Цинодон пальчатий);Cynodon dactylon;;
Пилок трав;C;g216;Бермудська трава (Цинодон пальчатий);Cynodon dactylon;rCyn d 1;BetaExpansin
Пилок трав;E;g7;Очерет звичайний;Phragmites communis;;
Пилок трав;C;g100;Пажитниця багаторічна;Lolium perenne;nLol p 1;BetaExpansin
Пилок трав;E;g12;Жито посівне;Secale cereale;;
Пилок трав;C;g205;Тимофіївка лучна;Phleum pratense;rPhl p 1;BetaExpansin
Пилок трав;C;g206;Тимофіївка лучна;Phleum pratense;rPhl p 2;Expansin
Пилок трав;C;g215;Тимофіївка лучна;Phleum pratense;rPhl p 5.0101;Grass Group 5/6
Пилок трав;C;g209;Тимофіївка лучна;Phleum pratense;rPhl p 6;Grass Group 5/6
Пилок трав;C;g210;Тимофіївка лучна;Phleum pratense;rPhl p 7;Polcalcin
Пилок трав;C;g212;Тимофіївка лучна;Phleum pratense;rPhl p 12;Profilin
Пилок дерев;E;t19;Акація срібляста (Рід тропічних дерев);Acacia spp.;;
Пилок дерев;C;t100;Вільха чорна (клейка);Alnus glutinosa;rAln q 1;PR-10
Пилок дерев;C;t101;Вільха чорна (клейка);Alnus glutinosa;rAln q 4;Polcalcin
Пилок дерев;C;t226;Кипарис аризонський;Cupressus arizonica;nCup a 1;Pectate Lyase
Пилок дерев;E;t25;Ясен звичайний (високий);Fraxinus excelsior;;
Пилок дерев;C;t103;Ясен звичайний (високий);Fraxinus excelsior;rFra e 1;Ole e 1-Family
Пилок дерев;E;t14;Тополя чорна (осокір);Populus nigra;;
Пилок дерев;C;t300;Бук європейський;Fagus sylvatica;rFag s 1;PR-10
Пилок дерев;E;t222;Кипарис вічнозелений;Cupressus sempervirens;;
Пилок дерев;C;t105;Фінікова пальма;Phoenix dactylifera;nPho d 2;Profilin
Пилок дерев;E;t8;В'яз граболистий (берест);Ulmus campestris;;
Пилок дерев;E;t4;Ліщина звичайна (пилок);Corylus avellana;;
Пилок дерев;C;t102;Ліщина звичайна (пилок);Corylus avellana;rCor a 1.0103;PR-10
Пилок дерев;C;t241;Платан кленолистий;Platanus acerifolia;rPla a 1;Plant Invertase
Пилок дерев;C;t301;Платан кленолистий;Platanus acerifolia;rPla a 2;Polygalacturonase
Пилок дерев;C;t302;Платан кленолистий;Platanus acerifolia;rPla a 3;nsLTP
Пилок дерев;E;t63;Ялівець мексиканський (гірський кедр);Juniperus ashei;;
Пилок дерев;E;t71;Шовковиця червона;Morus rubra;;
Пилок дерев;C;t224;Олива європейська;Olea europaea;nOle e 1;Common Olive Group 1
Пилок дерев;C;t240;Олива європейська;Olea europaea;rOle e 9;1
Пилок дерев;E;t305;Шовковиця паперова (брусонетія паперова);Broussonetia papyrifera;Bro p;
Пилок дерев;C;t215;Береза повисла;Betula verrucosa;rBet v 1;PR-10
Пилок дерев;C;t216;Береза повисла;Betula verrucosa;rBet v 2;Profilin
Пилок дерев;C;t225;Береза повисла;Betula verrucosa;rBet v 6;Isoflavon Reductase
Пилок дерев;C;t303;Криптомерія японська;Cryptomeria japonica;rCry j 1;Pectate Lyase
Пилок дерев;E;t304;Айлант найвищий;Ailanthus altissima;;
Пилок дерев;E;t10;Волоський горіх;Juglans regia;;
Пилок бур'янів;C;W301;Переліска однорічна;Mercurialis annua;rMer a 1;Profilin
Пилок бур'янів;E;w300;Коноплі звичайні (посівні);Cannabis sativa;;
Пилок бур'янів;C;w302;Коноплі звичайні (посівні);Cannabis sativa;rCan s 3;nsLTP
Пилок бур'янів;E;w10;Лобода біла;Chenopodium album;;
Пилок бур'янів;C;w100;Лобода біла;Chenopodium album;rChe a 1;Ole e 1-Family
Пилок бур'янів;E;w6;Полин звичайний;Artemisia vulgaris;;
Пилок бур'янів;C;w231;Полин звичайний;Artemisia vulgaris;rArt v 1.0101;Plant Defensin
Пилок бур'янів;C;w233;Полин звичайний;Artemisia vulgaris;rArt v 3.0201;nsLTP
Пилок бур'янів;E;w20;Кропива дводомна;Urtica dioica;;
Пилок бур'янів;E;w14;Щириця звичайна (амарант);Amaranthus retroflexus;;
Пилок бур'янів;E;w1;Амброзія полинолиста;Ambrosia artemisiifolia;;
Пилок бур'янів;C;w230;Амброзія полинолиста;Ambrosia artemisiifolia;rAmb a 1;Pectate Lyase
Пилок бур'янів;C;w300;Амброзія полинолиста;Ambrosia artemisiifolia;rAmb a 4;Plant Defensin
Пилок бур'янів;E;w9;Подорожник ланцетолистий;Plantago lanceolata;;
Пилок бур'янів;C;w234;Подорожник ланцетолистий;Plantago lanceolata;rPla l 1;Ole e 1-Family
Пилок бур'янів;E;w11;Курай поташевий;Salsola kali;;
Пилок бур'янів;C;w232;Курай поташевий;Salsola kali;rSal k 1;Pectin Methylesterase
Пилок бур'янів;E;w21;Настінниця розлога;Parietaria judaica;;
Пилок бур'янів;C;w211;Настінниця розлога;Parietaria judaica;rPar j 2;nsLTP
Пліснява та дріжджі;C;m229;Alternaria alternata (цвілеві гриби);Alternaria alternata;rAlt a 1;Alt a 1-Family
Пліснява та дріжджі;C;m230;Alternaria alternata (цвілеві гриби);Alternaria alternata;rAlt a 6;Enolase
Пліснява та дріжджі;C;m218;Aspergillus fumigatus (цвілеві гриби);Aspergillus fumigatus;rAsp f 1;Mitogillin Family
Пліснява та дріжджі;C;m220;Aspergillus fumigatus (цвілеві гриби);Aspergillus fumigatus;rAsp f 3;Peroxysomal Protein
Пліснява та дріжджі;C;m221;Aspergillus fumigatus (цвілеві гриби);Aspergillus fumigatus;rAsp f 4;unknown
Пліснява та дріжджі;C;m222;Aspergillus fumigatus (цвілеві гриби);Aspergillus fumigatus;rAsp f 6;Mn Superoxid-Dismutase
Пліснява та дріжджі;E;m2;Cladosporium herbarum (цвілеві гриби);Cladosporium herbarum;;
Пліснява та дріжджі;C;m100;Cladosporium herbarum (цвілеві гриби);Cladosporium herbarum;rCla h 8;Short Chain Dehydrogenase
Пліснява та дріжджі;C;y2;Malassezia sympodialis;Malassezia sympodialis;rMala s 5;unknown
Пліснява та дріжджі;C;y3;Malassezia sympodialis;Malassezia sympodialis;rMala s 6;Cyclophilin
Пліснява та дріжджі;C;y5;Malassezia sympodialis;Malassezia sympodialis;rMala s 11;Mn Superoxid-Dismutase
Пліснява та дріжджі;E;m1;Penicilium chrysogenum (цвілеві гриби);Penicilium chrysogenum;;
Кліщі та таргани;E;d70;Борошняний кліщ;Acarus siro;;
Кліщі та таргани;E;i206;Американський тарган;Periplaneta americana;;
Кліщі та таргани;C;i300;Американський тарган;Periplaneta americana;rPer a 7;Tropomyosin
Кліщі та таргани;C;d300;Blomia tropicalis;Blomia tropicalis;rBlo t 5;Mite Group 5
Кліщі та таргани;C;d301;Blomia tropicalis;Blomia tropicalis;rBlo t 10;Tropomyosin
Кліщі та таргани;C;d302;Blomia tropicalis;Blomia tropicalis;rBlo t 21;unknown
Кліщі та таргани;C;d100;Американський кліщ домашнього пилу (D. farinae);Dermatophagoides farinae;rDer f 1;Cysteine Protease
Кліщі та таргани;C;d101;Американський кліщ домашнього пилу (D. farinae);Dermatophagoides farinae;rDer f 2;NPC2 Family
Кліщі та таргани;C;d202;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 1;Cysteine Protease
Кліщі та таргани;C;d203;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 2;NPC2 Family
Кліщі та таргани;C;d103;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 5;unknown
Кліщі та таргани;C;d104;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 7;Mite Group 7
Кліщі та таргани;C;d205;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 10;Tropomyosin
Кліщі та таргани;C;d102;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 11;Myosin heavy chain
Кліщі та таргани;C;d303;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 20;Arginine Kinase
Кліщі та таргани;C;d304;Європейський кліщ домашнього пилу (D. pteronyssinus);Dermatophagoides pteronyssinus;rDer p 21;unknown
